id,name,value,timestamp
327,Temperature,29.0,2023-03-09 13:20:07.645827
328,Humidity,31.0,2023-03-09 13:20:07.653153
329,Voltage,0.009677419,2023-03-09 13:20:07.663504
330,Current,0.0,2023-03-09 13:20:07.669160
331,Object Temperature,1037.549927,2023-03-09 13:20:07.674698
332,Temperature,29.0,2023-03-09 13:20:13.215660
333,Humidity,31.0,2023-03-09 13:20:13.228486
334,Voltage,0.009677419,2023-03-09 13:20:13.235253
335,Current,0.0,2023-03-09 13:20:13.244234
336,Object Temperature,1037.549927,2023-03-09 13:20:13.247755
337,Temperature,29.0,2023-03-09 13:20:18.445792
338,Humidity,31.0,2023-03-09 13:20:18.461997
339,Voltage,0.009677419,2023-03-09 13:20:18.470360
340,Current,0.0,2023-03-09 13:20:18.474375
341,Object Temperature,1037.549927,2023-03-09 13:20:18.480818
342,Temperature,29.0,2023-03-09 13:20:23.674237
343,Humidity,31.0,2023-03-09 13:20:23.682511
344,Voltage,0.009677419,2023-03-09 13:20:23.690982
345,Current,0.0,2023-03-09 13:20:23.699000
346,Object Temperature,1037.549927,2023-03-09 13:20:23.704530
347,Temperature,29.0,2023-03-09 13:20:28.942175
348,Humidity,31.0,2023-03-09 13:20:28.942175
349,Voltage,0.009677419,2023-03-09 13:20:28.957246
350,Current,0.0,2023-03-09 13:20:28.965584
351,Object Temperature,1037.549927,2023-03-09 13:20:28.971639
352,Temperature,29.0,2023-03-09 13:20:34.266223
353,Humidity,31.0,2023-03-09 13:20:34.266223
354,Voltage,0.009677419,2023-03-09 13:20:34.280249
355,Current,0.0,2023-03-09 13:20:34.280249
356,Object Temperature,1037.549927,2023-03-09 13:20:34.280249
357,Temperature,29.0,2023-03-09 13:20:39.800846
358,Humidity,31.0,2023-03-09 13:20:39.816495
359,Voltage,0.009677419,2023-03-09 13:20:39.816495
360,Current,0.0,2023-03-09 13:20:39.832121
361,Object Temperature,1037.549927,2023-03-09 13:20:39.837024
362,Temperature,29.0,2023-03-09 13:20:45.027706
363,Humidity,31.0,2023-03-09 13:20:45.044173
364,Voltage,0.009677419,2023-03-09 13:20:45.052457
365,Current,0.0,2023-03-09 13:20:45.059537
366,Object Temperature,1037.549927,2023-03-09 13:20:45.068982
367,Temperature,29.0,2023-03-09 13:20:50.401279
368,Humidity,31.0,2023-03-09 13:20:50.416961
369,Voltage,0.009677419,2023-03-09 13:20:50.416961
370,Current,0.0,2023-03-09 13:20:50.432580
371,Object Temperature,1037.549927,2023-03-09 13:20:50.446855
372,Temperature,29.0,2023-03-09 13:20:55.791369
373,Humidity,31.0,2023-03-09 13:20:55.808432
374,Voltage,0.019354839,2023-03-09 13:20:55.815424
375,Current,0.0,2023-03-09 13:20:55.823362
376,Object Temperature,1037.549927,2023-03-09 13:20:55.823362
377,Temperature,29.0,2023-03-09 13:21:01.233270
378,Humidity,31.0,2023-03-09 13:21:01.244504
379,Voltage,0.009677419,2023-03-09 13:21:01.249094
380,Current,0.0,2023-03-09 13:21:01.264748
381,Object Temperature,1037.549927,2023-03-09 13:21:01.273499
382,Temperature,29.0,2023-03-09 13:21:06.423845
383,Humidity,31.0,2023-03-09 13:21:06.441799
384,Voltage,0.009677419,2023-03-09 13:21:06.441799
385,Current,0.0,2023-03-09 13:21:06.441799
386,Object Temperature,1037.549927,2023-03-09 13:21:06.455822
387,Temperature,29.0,2023-03-09 13:21:11.760105
388,Humidity,31.0,2023-03-09 13:21:11.764561
389,Voltage,0.009677419,2023-03-09 13:21:11.780233
390,Current,0.0,2023-03-09 13:21:11.780233
391,Object Temperature,1037.549927,2023-03-09 13:21:11.795858
392,Temperature,29.0,2023-03-09 13:21:17.261055
393,Humidity,31.0,2023-03-09 13:21:17.277386
394,Voltage,0.009677419,2023-03-09 13:21:17.277386
395,Current,0.0,2023-03-09 13:21:17.293309
396,Object Temperature,1037.549927,2023-03-09 13:21:17.293309
397,Temperature,29.0,2023-03-09 13:21:22.749250
398,Humidity,31.0,2023-03-09 13:21:22.765470
399,Voltage,0.006451613,2023-03-09 13:21:22.773990
400,Current,0.0,2023-03-09 13:21:22.780741
401,Object Temperature,1037.549927,2023-03-09 13:21:22.780741
402,Temperature,29.0,2023-03-09 13:21:28.129097
403,Humidity,31.0,2023-03-09 13:21:28.139703
404,Voltage,0.009677419,2023-03-09 13:21:28.139703
405,Current,0.0,2023-03-09 13:21:28.153226
406,Object Temperature,1037.549927,2023-03-09 13:21:28.155650
407,Temperature,29.0,2023-03-09 13:21:33.469286
408,Humidity,31.0,2023-03-09 13:21:33.482364
409,Voltage,0.009677419,2023-03-09 13:21:33.487931
410,Current,0.0,2023-03-09 13:21:33.487931
411,Object Temperature,1037.549927,2023-03-09 13:21:33.498859
412,Temperature,29.0,2023-03-09 13:21:39.086673
413,Humidity,31.0,2023-03-09 13:21:39.103985
